| Oferta od   | Marka pojazdu   | Model pojazdu   | Generacja      |   Rok produkcji |   Przebieg |   Pojemność skokowa | Rodzaj paliwa   |   Moc | Skrzynia biegów   |   Liczba drzwi | Kolor      | Rodzaj koloru   | Data pierwszej rejestracji w historii pojazdu   | Zarejestrowany w Polsce   | Pierwszy właściciel (od nowości)   | Bezwypadkowy   | Serwisowany w ASO   | Stan    | title                                               | url                                                                                                                                    |   price |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      75400 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | Metalik         | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-niski-przebieg-ID6FTWM7.html                                                        |   35500 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2017 |      77100 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | Metalik         | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio ENERGY TCe 90 Start & Stop LIMITED     | https://www.otomoto.pl/osobowe/oferta/renault-clio-bogata-wersja-energy-limited-navi-klima-tempomat-felgi-15-ledy-ID6FyNeW.html        |   35500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      85800 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | nan             | 13 sierpień 2015                                | Tak                       | Tak                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited EU6             | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-iv-0-9-ID6FTrA6.html                                                   |   35000 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      79411 |                8983 | Benzyna         |    90 | Manualna          |              5 | Biały      | nan             | nan                                             | nan                       | Tak                                | Tak            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited EU6             | https://www.otomoto.pl/osobowe/oferta/renault-clio-piekne-renault-clio-2017-r-benzyna-super-stan-ID6FMmG5.html                         |   34999 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      47014 |               11493 | Benzyna         |    75 | Manualna          |              5 | Czarny     | Metalik         | 18 maj 2023                                     | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V Life EU6                       | https://www.otomoto.pl/osobowe/oferta/renault-clio-klimatyzacja-niski-przebieg-stan-bdb-ID6FSxSy.html                                  |   34974 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      86980 |               11493 | Benzyna         |    75 | Manualna          |              5 | Szary      | Metalik         | 19 styczeń 2016                                 | Tak                       | nan                                | Tak            | nan                 | Używane | Renault Clio 1.2 16V Business                       | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-1-2-16v-ID6FP3uY.html                                                  |   34900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      79987 |                8983 | Benzyna         |    90 | Manualna          |              5 | Szary      | nan             | 12 grudzień 2016                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Business EU6            | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-klimatyzacja-alu-pelny-serwis-ID6FL4Kj.html                                     |   34900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      86000 |               11493 | Benzyna         |    73 | Manualna          |              5 | Biały      | Matowy          | 19 maj 2017                                     | nan                       | nan                                | Tak            | Tak                 | Używane | Renault Clio 1.2 16V Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-lift-benzyna-wersja-limited-2017r-z-niemiec-ID6FPTuk.html                           |   34800 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      34300 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | Metalik         | 30 czerwiec 2015                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Dynamique               | https://www.otomoto.pl/osobowe/oferta/renault-clio-tylko-34tys-km-ID6FTs6L.html                                                        |   34500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      63000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | Metalik         | 06 październik 2015                             | nan                       | nan                                | Tak            | Tak                 | Używane | Renault Clio (Energy) TCe 90 Start & Stop LIMITED   | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-combi-2015r-ID6FP4Ld.html                                              |   34500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      46338 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | Metalik         | 29 wrzesień 2017                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-nawigacja-automatyczna-klimatyzacja-ID6Fyo1k.html                                   |   33999 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      36500 |               11493 | Benzyna         |    74 | Manualna          |              5 | Biały      | nan             | 30 sierpień 2018                                | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V 75 Expression                  | https://www.otomoto.pl/osobowe/oferta/renault-clio-ladne-clio-zadbany-niski-przebieg-ID6FPCoe.html                                     |   33900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      70000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | Metalik         | 08 październik 2015                             | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Zen                     | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-0-9-tce-90-km-zen-ID6FnEla.html                                        |   33900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      75400 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | Perłowy         | 22 październik 2015                             | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 TCe Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-iv-ID6FRrsj.html                                                       |   33800 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      41900 |                8983 | Benzyna         |    90 | Manualna          |              5 | Biały      | nan             | 20 wrzesień 2018                                | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-ivgrandtour-alize90tce-salonpolska-1wlasciciel-bezwypadek-nowy-silnik-ID6FGypR.html |   32900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      96544 |                8983 | Benzyna         |    90 | Manualna          |              5 | Bordowy    | nan             | 11 lipiec 2016                                  | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-tempomat-zadbany-lakier-niski-przebieg-usb-bluetooth-ID6FQsWu.html                  |   32900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      95000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Bordowy    | Metalik         | nan                                             | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-clio-0-9-tce-wersja-limited-ID6FQsuH.html                                           |   32500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      52379 |               11493 | Benzyna         |    73 | Manualna          |              5 | Srebrny    | Metalik         | 11 marzec 2016                                  | Tak                       | nan                                | nan            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-iv-benz-nawigacja-tablet-ID6FTdIa.html                                 |   31100 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      93500 |                8983 | Benzyna         |    90 | Manualna          |              5 | Biały      | nan             | 11 maj 2017                                     | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Life                    | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-tce-salon-pl-ID6FU7mF.html                                                      |   31000 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2018 |        207 |                8983 | Benzyna         |    90 | Manualna          |              5 | Biały      | Matowy          | 27 wrzesień 2018                                | Tak                       | Tak                                | nan            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-krajowy-klimatyzacja-przestronne-kombi-fv-vat-ID6FyS1c.html                         |   29999 |
| Firma       | Renault         | Clio            | nan            |            2015 |      85000 |               11493 | Benzyna         |    74 | Manualna          |              5 | Bordowy    | Metalik         | nan                                             | nan                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-ID6FLRK0.html                                                                       |   29900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      52000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | Perłowy         | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited Plus            | https://www.otomoto.pl/osobowe/oferta/renault-clio-bogata-wersja-ID6FSBrl.html                                                         |   26900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2017 |      45000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Srebrny    | Metalik         | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Dynamique               | https://www.otomoto.pl/osobowe/oferta/renault-clio-auto-uszkodzone-ID6FQrkW.html                                                       |   24900 |
